iter	Logloss
0	0.6861843572
1	0.679248645
2	0.6725775308
3	0.6661479722
4	0.6602582679
5	0.6545519959
6	0.6478315953
7	0.6428290763
8	0.637561147
9	0.6317764538
10	0.6262158113
11	0.6214189989
12	0.6157950927
13	0.6104169558
14	0.6054273311
15	0.5997827355
16	0.5942367382
17	0.5894911994
18	0.5848387574
19	0.5793576525
20	0.5748313104
21	0.5701893414
22	0.5657922959
23	0.5614876453
24	0.556266515
25	0.5521106937
26	0.5475050502
27	0.5425612513
28	0.5382292733
29	0.5344513069
30	0.5309192114
31	0.5266366678
32	0.5221860027
33	0.5182637046
34	0.5139215035
35	0.5098999441
36	0.5055200707
37	0.5016773687
38	0.4976810313
39	0.4938909909
40	0.489947906
41	0.4860198908
42	0.4821767511
43	0.4787144454
44	0.4756802857
45	0.4721394628
46	0.4682567891
47	0.4647493939
48	0.4617864107
49	0.4588272331
