iter	Logloss
0	0.6860998915
1	0.6802471115
2	0.6737512259
3	0.6692131828
4	0.6619953874
5	0.6551439352
6	0.6496653508
7	0.6431041907
8	0.6372243727
9	0.6319354191
10	0.6267709252
11	0.621026193
12	0.6154093876
13	0.6099741326
14	0.6042700154
15	0.598996086
16	0.594081182
17	0.5879815095
18	0.5832633373
19	0.578086115
20	0.5722929762
21	0.5669999417
22	0.5618269451
23	0.5572244251
24	0.5527845937
25	0.5479677537
26	0.5433621775
27	0.5389611181
28	0.5342422023
29	0.5296842217
30	0.5252674299
31	0.5209032728
32	0.5166453481
33	0.5129026136
34	0.5092871517
35	0.5046183697
36	0.5007629773
37	0.4966398239
38	0.492836163
39	0.489227463
40	0.4855021726
41	0.4819104789
42	0.4780663876
43	0.4744362156
44	0.4704064478
45	0.4667881771
46	0.4631024527
47	0.4592521322
48	0.4557928708
49	0.4529893812
