iter	MultiClass
0	1.716459147
1	1.636602687
2	1.557380039
3	1.485211967
4	1.422636871
5	1.354974211
6	1.308209077
7	1.261958359
8	1.221912704
9	1.188007888
10	1.139507221
11	1.105431101
12	1.078683574
13	1.041811538
14	1.009182065
15	0.9781437954
16	0.9570860637
17	0.9337618461
18	0.9122833318
19	0.8905679614
20	0.8716400541
21	0.8477342211
22	0.8305305776
23	0.8119957545
24	0.7975770395
25	0.7833123025
26	0.7706661911
27	0.7523265804
28	0.7375454982
29	0.7245371252
30	0.712184018
31	0.7005441105
32	0.6878878321
33	0.678751279
34	0.6643791787
35	0.653229098
36	0.6435262021
37	0.6338404114
38	0.6238391163
39	0.6129151752
40	0.6008415421
41	0.5927311151
42	0.5858092604
43	0.5790034457
44	0.569716916
45	0.562113907
46	0.5557396883
47	0.547533279
48	0.5385585165
49	0.5321539981
50	0.5260018429
51	0.5190383641
52	0.5098350684
53	0.5038791069
54	0.4986603464
55	0.4916213982
56	0.4838427878
57	0.4807746035
58	0.4748131095
59	0.4683999862
60	0.4627547992
61	0.4558999811
62	0.4483842094
63	0.4424635202
64	0.4376002685
65	0.4316137741
66	0.4259464607
67	0.4190293393
68	0.4147737313
69	0.4085827671
70	0.4016711148
71	0.3985772128
72	0.3946030008
73	0.389401249
74	0.3826212544
75	0.3790981434
76	0.3710674441
77	0.3687483134
78	0.3648079831
79	0.358894562
80	0.3534308128
81	0.3480273834
82	0.3426565727
83	0.3362245848
84	0.3313044799
85	0.3276292848
86	0.3250502994
87	0.3217307884
88	0.3173940367
89	0.3140305207
90	0.3117808243
91	0.3092776255
92	0.3052598537
93	0.3022209861
94	0.2980906399
95	0.2945641403
96	0.2906515158
97	0.2896496015
98	0.2856182311
99	0.282564241
100	0.2800001713
101	0.2776887423
102	0.2748563356
103	0.2719813218
104	0.2706780485
105	0.2667263191
106	0.2634708582
107	0.2594991959
108	0.2567788075
109	0.2541418033
110	0.2524501418
111	0.249641854
112	0.2471512452
113	0.2438803322
114	0.2419427544
115	0.2391378925
116	0.236398314
117	0.2350894641
118	0.2336026779
119	0.2311459422
120	0.2292609401
121	0.226989463
122	0.224851973
123	0.222785315
124	0.2206330069
125	0.2191011632
126	0.2174111478
127	0.2155650347
128	0.2136430344
129	0.212241881
130	0.2105472103
131	0.2081190974
132	0.2058840015
133	0.2038510998
134	0.2013292331
135	0.1989726694
136	0.1980347016
137	0.1966149042
138	0.1956585254
139	0.1950219718
140	0.1924940568
141	0.1908991319
142	0.1897096787
143	0.1881606259
144	0.1868447457
145	0.1854258519
146	0.1841983182
147	0.1833606479
148	0.1819927616
149	0.1807995271
150	0.1799338617
151	0.1786807754
152	0.1766250544
153	0.1758746751
154	0.1745728826
155	0.1734970648
156	0.1713879177
157	0.1700518446
158	0.1691149477
159	0.167880048
160	0.1665326171
161	0.1654784154
162	0.1646471328
163	0.163602721
164	0.1623882645
165	0.160973822
166	0.1597947608
167	0.1581521245
168	0.1569788826
169	0.1560728316
170	0.155009269
171	0.1541113626
172	0.1536778148
173	0.1531809021
174	0.1523608192
175	0.1513737141
176	0.1505695234
177	0.1497623284
178	0.1487201143
179	0.1477789971
180	0.1469512145
181	0.1458400516
182	0.1446176749
183	0.1437175196
184	0.1428765652
185	0.1418682248
186	0.1408813194
187	0.1397346405
188	0.138830943
189	0.1376052867
190	0.1367172824
191	0.1356173609
192	0.1345843036
193	0.1334967382
194	0.1328828892
195	0.1325105618
196	0.1315426616
197	0.1306092841
198	0.1297291553
199	0.1288395654
