iter	Passed	Remaining
0	5	995
1	9	913
2	13	886
3	17	866
4	21	854
5	26	846
6	30	849
7	35	843
8	39	839
9	43	831
10	47	821
11	51	810
12	55	798
13	59	792
14	63	786
15	67	779
16	71	773
17	76	769
18	80	765
19	84	760
20	88	756
21	92	751
22	97	749
23	101	744
24	105	741
25	109	734
26	113	727
27	117	721
28	121	716
29	125	709
30	129	703
31	133	699
32	137	695
33	141	692
34	145	687
35	149	682
36	153	676
37	157	671
38	161	666
39	165	662
40	169	657
41	173	653
42	177	649
43	182	645
44	186	641
45	190	636
46	194	632
47	198	628
48	202	624
49	206	619
50	210	615
51	214	611
52	218	607
53	222	602
54	227	598
55	231	594
56	235	589
57	239	585
58	243	581
59	247	577
60	251	574
61	256	570
62	260	566
63	264	562
64	268	558
65	272	554
66	277	550
67	281	545
68	285	542
69	290	539
70	294	534
71	299	531
72	303	528
73	307	524
74	311	519
75	316	515
76	320	511
77	324	507
78	329	504
79	333	500
80	337	496
81	341	492
82	346	488
83	350	484
84	354	479
85	358	475
86	362	470
87	366	466
88	370	462
89	374	457
90	378	453
91	382	449
92	386	445
93	390	440
94	394	436
95	399	432
96	403	428
97	405	422
98	409	417
99	413	413
100	417	409
101	421	405
102	425	401
103	429	396
104	433	392
105	438	388
106	442	384
107	446	380
108	450	376
109	454	372
110	458	367
111	462	363
112	466	359
113	470	355
114	474	350
115	479	347
116	483	342
117	487	338
118	491	334
119	495	330
120	500	326
121	503	322
122	508	318
123	512	313
124	515	309
125	519	305
126	523	301
127	527	296
128	531	292
129	535	288
130	539	284
131	543	280
132	547	275
133	551	271
134	555	267
135	559	263
136	563	259
137	567	255
138	572	251
139	573	245
140	577	241
141	581	237
142	585	233
143	589	229
144	593	225
145	598	221
146	602	217
147	606	213
148	611	209
149	615	205
150	620	201
151	625	197
152	629	193
153	633	189
154	638	185
155	642	181
156	646	177
157	651	173
158	655	168
159	659	164
160	663	160
161	667	156
162	672	152
163	677	148
164	681	144
165	686	140
166	690	136
167	694	132
168	699	128
169	703	124
170	708	120
171	713	116
172	715	111
173	720	107
174	724	103
175	728	99
176	732	95
177	736	91
178	741	86
179	745	82
180	749	78
181	753	74
182	757	70
183	760	66
184	762	61
185	766	57
186	770	53
187	774	49
188	778	45
189	781	41
190	786	37
191	790	32
192	794	28
193	798	24
194	802	20
195	806	16
196	810	12
197	814	8
198	818	4
199	822	0
