iter	Passed	Remaining
0	4	934
1	9	906
2	13	855
3	17	838
4	21	824
5	25	814
6	29	804
7	33	795
8	37	788
9	41	783
10	44	771
11	48	764
12	52	757
13	57	761
14	61	755
15	64	745
16	68	740
17	73	738
18	77	737
19	81	733
20	86	735
21	90	732
22	94	727
23	98	724
24	103	721
25	106	714
26	110	710
27	114	706
28	120	709
29	124	703
30	128	697
31	132	693
32	136	689
33	140	684
34	144	680
35	148	676
36	152	672
37	156	667
38	160	664
39	165	660
40	169	655
41	173	652
42	178	650
43	182	647
44	187	645
45	192	642
46	197	642
47	202	641
48	207	639
49	211	635
50	216	633
51	222	632
52	226	629
53	232	627
54	236	623
55	240	619
56	245	616
57	249	611
58	254	607
59	258	602
60	262	599
61	267	595
62	271	591
63	276	586
64	280	582
65	284	577
66	288	573
67	293	569
68	297	565
69	302	562
70	307	558
71	311	554
72	316	549
73	320	545
74	324	541
75	328	536
76	333	532
77	337	528
78	342	524
79	346	519
80	350	515
81	356	512
82	361	508
83	365	504
84	369	500
85	374	496
86	379	492
87	383	488
88	388	483
89	392	479
90	396	474
91	400	470
92	404	465
93	409	461
94	413	456
95	416	451
96	420	446
97	422	439
98	427	436
99	431	431
100	436	427
101	439	422
102	443	417
103	447	413
104	452	409
105	457	405
106	461	400
107	464	395
108	468	391
109	472	386
110	476	382
111	480	377
112	485	373
113	488	368
114	492	364
115	496	359
116	500	355
117	504	350
118	508	346
119	512	341
120	516	337
121	520	332
122	524	328
123	528	323
124	532	319
125	536	315
126	540	310
127	544	306
128	549	302
129	553	297
130	556	293
131	560	288
132	564	284
133	568	280
134	572	275
135	577	271
136	581	267
137	585	262
138	589	258
139	590	253
140	594	248
141	598	244
142	602	240
143	606	236
144	610	231
145	615	227
146	619	223
147	622	218
148	626	214
149	630	210
150	634	205
151	638	201
152	641	197
153	646	193
154	649	188
155	653	184
156	657	180
157	661	175
158	666	171
159	670	167
160	673	163
161	677	159
162	682	154
163	686	150
164	690	146
165	694	142
166	698	138
167	702	133
168	706	129
169	710	125
170	714	121
171	718	117
172	722	112
173	726	108
174	729	104
175	733	100
176	737	95
177	741	91
178	745	87
179	749	83
180	754	79
181	758	74
182	761	70
183	765	66
184	767	62
185	771	58
186	775	53
187	779	49
188	783	45
189	788	41
190	791	37
191	795	33
192	799	29
193	804	24
194	808	20
195	812	16
196	816	12
197	820	8
198	824	4
199	828	0
