iter	Passed	Remaining
0	4	913
1	8	823
2	12	795
3	16	785
4	19	771
5	23	763
6	27	755
7	31	746
8	34	739
9	38	732
10	42	728
11	46	729
12	50	733
13	54	729
14	58	725
15	62	719
16	66	715
17	70	711
18	74	706
19	77	700
20	81	697
21	85	693
22	89	689
23	93	684
24	97	680
25	101	676
26	104	671
27	108	667
28	112	663
29	116	658
30	119	654
31	123	650
32	127	645
33	131	641
34	135	636
35	138	631
36	142	627
37	146	624
38	150	619
39	153	615
40	157	611
41	161	607
42	165	603
43	168	599
44	172	594
45	176	592
46	180	588
47	184	584
48	188	579
49	191	575
50	195	571
51	199	567
52	203	564
53	207	560
54	211	558
55	216	555
56	220	552
57	224	549
58	228	546
59	233	543
60	237	541
61	241	538
62	246	535
63	250	533
64	254	529
65	258	525
66	262	521
67	266	517
68	271	514
69	275	511
70	279	507
71	283	504
72	287	500
73	291	496
74	295	492
75	299	488
76	303	484
77	307	480
78	311	476
79	315	472
80	319	469
81	323	465
82	327	461
83	331	458
84	335	454
85	340	450
86	344	447
87	348	443
88	352	439
89	356	435
90	360	432
91	365	428
92	369	425
93	374	422
94	378	418
95	383	414
96	387	411
97	388	404
98	392	400
99	396	396
100	400	393
101	405	389
102	409	385
103	413	381
104	417	377
105	421	373
106	425	369
107	429	365
108	433	361
109	437	357
110	441	353
111	445	350
112	449	345
113	453	341
114	456	337
115	460	333
116	464	329
117	468	325
118	472	321
119	476	317
120	479	313
121	483	309
122	487	305
123	491	301
124	495	297
125	499	293
126	503	289
127	507	285
128	510	281
129	514	277
130	518	273
131	522	269
132	526	265
133	530	261
134	534	257
135	538	253
136	542	249
137	546	245
138	550	241
139	552	236
140	555	232
141	559	228
142	563	224
143	567	220
144	571	216
145	575	212
146	579	208
147	583	204
148	586	200
149	590	196
150	594	192
151	598	188
152	602	184
153	605	180
154	609	176
155	613	172
156	616	168
157	620	164
158	624	161
159	628	157
160	631	153
161	635	149
162	639	145
163	643	141
164	646	137
165	650	133
166	654	129
167	658	125
168	662	121
169	666	117
170	670	113
171	673	109
172	676	105
173	679	101
174	683	97
175	687	93
176	691	89
177	695	85
178	699	82
179	702	78
180	706	74
181	710	70
182	714	66
183	718	62
184	719	58
185	723	54
186	727	50
187	731	46
188	735	42
189	738	38
190	742	34
191	746	31
192	750	27
193	753	23
194	757	19
195	761	15
196	765	11
197	769	7
198	773	3
199	776	0
